order_id,order_date,customer_id,customer_name,customer_email,product_id,product_name,category,qty,unit_price,order_total,status
1109,2025-08-26,12,Customer 12,user12@example.com,5,Cap,Apparel,2,15.0,30.0,paid
1110,2025-08-26,106,Customer 106,user106@example.com,5,Cap,Apparel,1,15.0,15.0,paid
1111,2025-08-26,10,Customer 10,user10@example.com,5,Cap,Apparel,3,15.0,45.0,paid
1112,2025-08-26,150,Customer 150,user150@example.com,5,Cap,Apparel,1,15.0,15.0,paid
1113,2025-08-26,85,Customer 85,user85@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1114,2025-08-26,48,Customer 48,user48@example.com,1,T-Shirt,Apparel,3,19.0,57.0,paid
1115,2025-08-26,135,Customer 135,user135@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1116,2025-08-26,117,Customer 117,user117@example.com,3,Mug,Home,2,12.5,25.0,paid
1117,2025-08-26,167,Customer 167,user167@example.com,5,Cap,Apparel,2,15.0,30.0,paid
1118,2025-08-26,183,Customer 183,user183@example.com,4,Sticker,Accessories,3,3.0,9.0,paid
1119,2025-08-26,155,Customer 155,user155@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1120,2025-08-26,136,Customer 136,user136@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1121,2025-08-26,160,Customer 160,user160@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1122,2025-08-26,160,Customer 160,user160@example.com,1,T-Shirt,Apparel,2,19.0,38.0,paid
1123,2025-08-26,2,Customer 2,user2@example.com,3,Mug,Home,3,12.5,37.5,paid
1124,2025-08-26,184,Customer 184,user184@example.com,4,Sticker,Accessories,3,3.0,9.0,paid
1125,2025-08-26,79,Customer 79,user79@example.com,1,T-Shirt,Apparel,3,19.0,57.0,paid
1126,2025-08-26,128,Customer 128,user128@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1127,2025-08-26,15,Customer 15,user15@example.com,4,Sticker,Accessories,2,3.0,6.0,paid
1128,2025-08-26,19,Customer 19,user19@example.com,5,Cap,Apparel,1,15.0,15.0,paid
1129,2025-08-26,124,Customer 124,user124@example.com,3,Mug,Home,2,12.5,25.0,paid
1130,2025-08-26,57,Customer 57,user57@example.com,5,Cap,Apparel,1,15.0,15.0,paid
1131,2025-08-26,121,Customer 121,user121@example.com,3,Mug,Home,3,12.5,37.5,paid
1132,2025-08-26,196,Customer 196,user196@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1133,2025-08-26,156,Customer 156,user156@example.com,3,Mug,Home,3,12.5,37.5,paid
1134,2025-08-26,155,Customer 155,user155@example.com,2,Hoodie,Apparel,1,39.0,39.0,paid
1135,2025-08-26,48,Customer 48,user48@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1136,2025-08-26,132,Customer 132,user132@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1137,2025-08-26,190,Customer 190,user190@example.com,5,Cap,Apparel,3,15.0,45.0,paid
1138,2025-08-26,45,Customer 45,user45@example.com,1,T-Shirt,Apparel,2,19.0,38.0,paid
1139,2025-08-26,65,Customer 65,user65@example.com,5,Cap,Apparel,3,15.0,45.0,paid
1140,2025-08-26,100,Customer 100,user100@example.com,3,Mug,Home,2,12.5,25.0,paid
1141,2025-08-26,91,Customer 91,user91@example.com,3,Mug,Home,1,12.5,12.5,paid
1142,2025-08-26,174,Customer 174,user174@example.com,2,Hoodie,Apparel,3,39.0,117.0,paid
1143,2025-08-26,169,Customer 169,user169@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1144,2025-08-26,190,Customer 190,user190@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1145,2025-08-26,72,Customer 72,user72@example.com,5,Cap,Apparel,1,15.0,15.0,paid
1146,2025-08-26,52,Customer 52,user52@example.com,4,Sticker,Accessories,2,3.0,6.0,paid
1147,2025-08-26,45,Customer 45,user45@example.com,3,Mug,Home,3,12.5,37.5,paid
1148,2025-08-26,178,Customer 178,user178@example.com,4,Sticker,Accessories,3,3.0,9.0,paid
1149,2025-08-26,110,Customer 110,user110@example.com,2,Hoodie,Apparel,1,39.0,39.0,paid
1150,2025-08-26,156,Customer 156,user156@example.com,3,Mug,Home,2,12.5,25.0,paid
1151,2025-08-26,160,Customer 160,user160@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1152,2025-08-26,6,Customer 6,user6@example.com,2,Hoodie,Apparel,2,39.0,78.0,paid
1153,2025-08-26,89,Customer 89,user89@example.com,2,Hoodie,Apparel,3,39.0,117.0,paid
1154,2025-08-26,128,Customer 128,user128@example.com,4,Sticker,Accessories,1,3.0,3.0,paid
1155,2025-08-26,186,Customer 186,user186@example.com,2,Hoodie,Apparel,3,39.0,117.0,paid
1156,2025-08-26,96,Customer 96,user96@example.com,3,Mug,Home,1,12.5,12.5,paid
1157,2025-08-26,13,Customer 13,user13@example.com,1,T-Shirt,Apparel,2,19.0,38.0,paid
